[I 2024-06-30 00:48:27,972] A new study created in memory with name: no-name-dc5298ab-477f-4cd0-8834-d3a5ac353222
EPOCH:1, Train Loss:262.0762939453125, Valid Loss:243.34317016601562
EPOCH:2, Train Loss:247.3270721435547, Valid Loss:242.06646728515625
EPOCH:3, Train Loss:245.41065979003906, Valid Loss:240.150390625
EPOCH:4, Train Loss:244.38919067382812, Valid Loss:239.42791748046875
EPOCH:5, Train Loss:243.72711181640625, Valid Loss:238.4218292236328
EPOCH:6, Train Loss:243.21307373046875, Valid Loss:237.7422637939453
EPOCH:7, Train Loss:242.7902374267578, Valid Loss:238.12213134765625
EPOCH:8, Train Loss:242.47409057617188, Valid Loss:238.01991271972656
EPOCH:9, Train Loss:242.24887084960938, Valid Loss:237.1045379638672
EPOCH:10, Train Loss:242.05406188964844, Valid Loss:237.10488891601562
[I 2024-06-30 00:50:00,819] Trial 0 finished with value: 237.10488891601562 and parameters: {'z_dim': 13, 'lr': 0.0020891314715257535}. Best is trial 0 with value: 237.10488891601562.
EPOCH:1, Train Loss:303.08087158203125, Valid Loss:262.2637939453125
EPOCH:2, Train Loss:264.47357177734375, Valid Loss:252.73284912109375
EPOCH:3, Train Loss:258.19781494140625, Valid Loss:248.57965087890625
EPOCH:4, Train Loss:254.47972106933594, Valid Loss:245.93341064453125
EPOCH:5, Train Loss:252.07814025878906, Valid Loss:243.2322998046875
EPOCH:6, Train Loss:250.42739868164062, Valid Loss:242.63790893554688
EPOCH:7, Train Loss:249.19357299804688, Valid Loss:240.90699768066406
EPOCH:8, Train Loss:248.23974609375, Valid Loss:240.08255004882812
EPOCH:9, Train Loss:247.45420837402344, Valid Loss:240.09803771972656
EPOCH:10, Train Loss:246.83242797851562, Valid Loss:240.0481719970703
[I 2024-06-30 00:51:32,638] Trial 1 finished with value: 240.0481719970703 and parameters: {'z_dim': 32, 'lr': 0.0002349922575992888}. Best is trial 0 with value: 237.10488891601562.
EPOCH:1, Train Loss:321.4390869140625, Valid Loss:267.526123046875
EPOCH:2, Train Loss:266.4746398925781, Valid Loss:255.68243408203125
EPOCH:3, Train Loss:259.306640625, Valid Loss:250.9322509765625
EPOCH:4, Train Loss:255.7324676513672, Valid Loss:247.9150390625
EPOCH:5, Train Loss:253.48756408691406, Valid Loss:245.86961364746094
EPOCH:6, Train Loss:251.9595947265625, Valid Loss:244.42587280273438
EPOCH:7, Train Loss:250.76087951660156, Valid Loss:243.801025390625
EPOCH:8, Train Loss:249.8173370361328, Valid Loss:243.38194274902344
EPOCH:9, Train Loss:249.0769805908203, Valid Loss:241.760986328125
EPOCH:10, Train Loss:248.42822265625, Valid Loss:242.21670532226562
[I 2024-06-30 00:53:04,637] Trial 2 finished with value: 242.21670532226562 and parameters: {'z_dim': 17, 'lr': 0.00016055467984770502}. Best is trial 0 with value: 237.10488891601562.
EPOCH:1, Train Loss:266.0028381347656, Valid Loss:245.85533142089844
EPOCH:2, Train Loss:250.3834991455078, Valid Loss:243.1280975341797
EPOCH:3, Train Loss:248.3514862060547, Valid Loss:241.38912963867188
EPOCH:4, Train Loss:247.17156982421875, Valid Loss:240.67552185058594
EPOCH:5, Train Loss:246.38485717773438, Valid Loss:240.1838836669922
EPOCH:6, Train Loss:245.91310119628906, Valid Loss:239.04786682128906
EPOCH:7, Train Loss:245.54237365722656, Valid Loss:238.2135009765625
EPOCH:8, Train Loss:245.25157165527344, Valid Loss:241.54248046875
EPOCH:9, Train Loss:245.0010986328125, Valid Loss:239.04986572265625
